,Brands,Model,Processor,RAM,ROM,Battery,Screen_Size,Prices
201,Nokia,T21,3.2,8,64,8040,10.36,18999
202,Samsung,Galaxy,2.0,3,256,7100,10.4,25999
203,Xiaomi,Redmi,2.2,6,128,8340,10.61,16999
204,Xiaomi,Redmi,2.0,4,64,5299,10.28,19499
205,Realme,Pad,2.96,6,128,8720,10.28,16490
206,Samsung,Galaxy,96.0,6,64,7100,10.61,22990
207,Samsung,Galaxy,3.2,6,64,8720,10.28,20999
208,Vivo,Pad,2.0,12,128,11200,10.28,28990
209,Realme,Pad,2.2,4,128,8340,10.28,14999
210,Realme,Pad,2.0,8,64,8600,10.28,27999
211,Xiaomi,Mi,2.65,6,64,10090,10.4,28448
212,Apple,iPad,65.0,6,64,8720,10.28,62900
213,Realme,Pad,2.2,4,64,5299,10.28,19999
214,Xiaomi,Pad,3.2,4,128,8200,10.58,34999
215,Samsung,Galaxy,2.2,4,64,5299,10.28,111999
216,Xiaomi,Mi,2.0,4,32,7040,10.5,28448
217,Realme,Pad,2.2,4,64,5299,10.28,16490
218,Samsung,Galaxy,2.84,4,128,5299,10.28,32999
219,Xiaomi,Mi,84.0,4,256,8000,10.4,29107
220,Samsung,Galaxy,2.96,6,64,8000,10.28,25999
221,Motorola,Moto,96.0,4,128,7100,10.95,19999
222,Lenovo,Tab,2.3,4,128,8040,10.28,23999
223,Xiaomi,Redmi,3.0,4,256,7040,10.9,19499
224,Realme,Pad,2.2,8,64,8040,10.4,25999
225,Apple,iPad,2.0,3,64,7100,10.28,28990
226,Xiaomi,Mi,2.2,6,256,8340,14.6,39999
227,OnePlus,Pad,2.0,6,128,8720,10.28,39999
228,Xiaomi,Mi,2.2,6,128,7100,10.28,29107
229,Nokia,T21,2.0,4,64,5299,10.28,18999
230,Samsung,Galaxy,2.2,4,64,5299,10.28,25999
231,Xiaomi,Redmi,3.2,6,64,8720,10.95,16999
232,Xiaomi,Redmi,2.0,12,64,11200,10.2,19499
233,Realme,Pad,2.2,4,128,8340,12.4,16490
234,Samsung,Galaxy,2.2,4,64,5299,10.28,22990
235,Samsung,Galaxy,2.0,8,128,8600,10.28,20999
236,Vivo,Pad,2.96,6,64,10090,10.36,28990
237,Realme,Pad,96.0,6,64,8720,10.28,14999
238,Realme,Pad,3.2,4,64,8200,10.28,27999
239,Xiaomi,Mi,2.0,4,128,7040,10.4,28448
240,Apple,iPad,2.2,4,32,8000,10.28,62900
241,Realme,Pad,2.0,6,128,8000,10.28,19999
242,Xiaomi,Pad,2.65,4,256,7100,10.28,34999
243,Samsung,Galaxy,65.0,4,64,8040,10.61,111999
244,Xiaomi,Mi,3.2,4,128,7040,10.61,28448
245,Realme,Pad,2.0,8,128,8040,10.28,16490
246,Samsung,Galaxy,2.84,4,64,5299,10.4,32999
247,Xiaomi,Mi,84.0,3,256,7100,10.28,29107
248,Samsung,Galaxy,2.96,6,64,8340,10.28,25999
249,Motorola,Moto,96.0,6,64,8720,10.28,19999
250,Lenovo,Tab,2.3,6,256,7100,10.28,23999
251,Xiaomi,Redmi,3.0,6,128,8720,10.58,19499
252,Realme,Pad,2.2,12,128,11200,10.28,25999
253,Apple,iPad,2.0,4,64,8340,10.28,28990
254,Xiaomi,Mi,2.2,8,64,8600,10.5,39999
255,OnePlus,Pad,2.0,6,128,10090,10.28,39999
256,Xiaomi,Mi,2.2,6,128,8720,10.4,29107
257,Nokia,T21,2.0,4,64,8200,10.28,18999
258,Samsung,Galaxy,3.2,4,64,7040,10.28,25999
259,Xiaomi,Redmi,2.0,4,64,8000,10.95,16999
260,Xiaomi,Redmi,2.2,4,64,5299,10.28,19499
261,Realme,Pad,2.0,6,128,8000,10.9,16490
