,Brands,Model,Colors,RAM,ROM,Battery,Screen_Size,Prices
214,Alcatel,TKEE,Mint Green),2,64,2685,25.65,10499
215,APPLE,iPad,5th Generation) 16 GB RAM 2 TB ROM 12.9 inches with Wi-Fi+5G ,4,32,5100,32.77,200900
216,APPLE,iPad,5th Generation) 16 GB RAM 1 TB ROM 12.9 inches with Wi-Fi+5G ,4,128,4080,32.77,176900
217,APPLE,iPad,5th Generation) 8 GB RAM 512 GB ROM 12.9 inches with Wi-Fi Only ,2,64,2685,32.77,126900
218,Contixo,Kids,Purple),2,128,2685,17.78,6999
219,TCL,10,Grey),2,128,7000,26.31,17999
220,Lenovo,Tab,Aurora Black),2,32,2685,25.65,23999
221,Lenovo,Tab,Abyss Blue),2,64,2685,26.16,14499
222,APPLE,iPad,4th Gen) 1 TB ROM 11.0 inch with Wi-Fi Only ,2,32,2685,27.94,144966
223,APPLE,iPad,6th Gen) 256 GB ROM 12.9 inch with Wi-Fi+5G ,2,64,2685,32.77,133900
224,Swipe,Slate,Gold),2,64,2685,25.65,11646
225,Lenovo,Ideapad,"Ice Blue, Iron Gr...",8,512,8600,25.65,25990
226,Alcatel,3T10,2nd Gen) 3 GB RAM 32 GB ROM 10.1 inches with Wi-Fi+4G Tablet ,2,64,2685,25.65,13199
227,Swipe,Slate,Glacier Blue),2,64,2685,25.65,11999
228,Wishtel,IRA,Grey),6,32,5100,25.4,19250
229,Swipe,New,Grey),6,512,5000,25.65,10999
230,Nokia,T10,Blue),2,32,8000,20.32,12499
231,Alcatel,1T10,2nd Gen) 2 GB RAM 32 GB ROM 10.1 inches with Wi-Fi Only Tablet ,2,64,2685,25.65,9499
232,Swipe,X1,Glacier Blue...,2,16,2685,25.65,15999
233,Wishtel,IRA,Black),2,32,2685,25.4,9999
234,SAMSUNG,Galaxy,Silver),2,64,2685,31.5,88999
235,APPLE,iPad,4th Gen) 512 GB ROM 11.0 inch with Wi-Fi Only ,2,256,2685,27.94,106792
236,Alcatel,TKEE,Blue),3,16,4080,17.78,7499
237,APPLE,iPad,4th Gen) 512 GB ROM 11.0 inch with Wi-Fi Only ,2,64,2685,27.94,108400
238,LAVA,Ivory,Black),4,128,2800,17.78,7999
239,SAMSUNG,Galaxy,S...,2,64,2685,20.32,21500
240,APPLE,iPad,3rd Generation) 16 GB RAM 1 TB ROM 11 inches with Wi-Fi Only ,2,32,2685,27.94,129292
241,Nokia,Tab,Blue),2,64,2685,26.31,16499
242,APPLE,iPad,8th Gen) 128 GB ROM 10.2 inch with Wi-Fi Only ,2,64,8000,25.91,37900
243,Lenovo,IdeaPad,16 GB/512 GB SSD/Windows 11 Home) 14ALC7 Thin and Lig...,16,64,7000,35.56,61790
244,SAMSUNG,Galaxy,Silver),2,32,2685,31.5,42999
245,Wishtel,IRA,Silver),2,64,2685,25.4,10375
246,iball,iTAB,Coal Black),16,32,7500,25.65,13999
247,APPLE,iPad,8th Gen) 32 GB ROM 10.2 inch with Wi-Fi Only ,8,32,5000,25.91,29900
